epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1605283200,,,,124.1121465,124.8073809
1605283200,,124.2824286,124.9231429,,
1605286800,,,,124.115,124.844
1605312000,,,,124.115,124.844
1605319200,,,,124.115,124.844
1605362400,,,,124.115,124.844
1605376800,,,,124.115,124.844
1605380400,,,,124.115,124.844
1605384000,,,,124.115,124.844
1605441600,,,,124.115,124.844
1605484800,,,,124.115,124.844
1605510000,,,,124.2600869,124.8895541
1605510000,,124.0150909,124.941,,
1605513600,,,,124.2574848,124.9400562
1605513600,,124.3576,124.975,,
1605517200,,,,124.3618495,125.0400108
1605517200,,124.3827778,125.0134444,,
1605520800,,,,124.3350759,124.9977009
1605520800,,124.3858,125.0176,,
1605524400,,124.4024286,125.035,,
1605524400,,,,124.2478693,124.9221471
1605528000,,124.2626364,124.8954545,,
1605528000,,,,123.8930367,124.5735264
1605531600,,124.307375,124.93975,,
1605531600,,,,124.0501595,124.7380945
1605535200,,124.38225,125.01425,,
1605535200,,,,124.2400757,124.9291484
1605538800,125.004,,,,
1605538800,,,,124.309103,124.9933597
1605538800,,124.4366364,125.0710909,,
1605542400,,,,124.2598863,124.9390217
1605542400,,124.5865455,125.2265455,,
1605571200,,,,124.248,124.943
1605596400,,124.6891538,125.3440769,,
1605596400,,,,124.2832419,124.9439977
1605600000,,,,124.2303116,124.9241268
1605600000,,124.6573333,125.338,,
1605603600,,,,124.2987411,124.9846344
1605603600,,124.6976,125.3378,,
1605607200,,,,124.3472623,125.0327825
1605607200,,124.7101667,125.3473333,,
1605610800,,124.7131,125.3509,,
1605610800,,,,124.3362394,125.0290614
1605614400,,,,124.3613303,125.0544908
1605614400,,124.72625,125.362875,,
1605618000,,124.7657273,125.4004545,,
1605618000,,,,124.4518445,125.176187
1605621600,,124.7860909,125.4216364,,
1605621600,,,,124.4793539,125.2039779
1605625200,,124.7898889,125.4247778,,
1605625200,,,,124.465438,125.1945725
1605628800,,124.80225,125.43725,,
1605628800,,,,124.4910066,125.2162086
1605632400,,124.822,125.457,,
1605657600,,,,124.516,125.261
1605682800,,,,124.6817894,125.3365495
1605682800,,123.8185672,125.0013433,,
1605686400,,124.7836364,125.4199091,,
1605686400,,,,124.6233696,125.3319449
1605690000,,,,124.5560954,125.2674246
1605690000,,124.738,125.3742857,,
1605693600,,,,124.591092,125.3031198
1605693600,,124.7557,125.3919,,
1605697200,,124.7555556,125.392,,
1605697200,,,,124.5728309,125.2872488
1605700800,,124.7177143,125.3541429,,
1605700800,,,,124.5349658,125.2467534
1605704400,,124.7743,125.4101,,
1605704400,,,,124.5904119,125.3040949
1605708000,,,,124.4867543,125.2004659
1605708000,,124.666,125.3025556,,
1605711600,,124.685,125.3218333,,
1605711600,,,,124.4463684,125.1613026
1605715200,,124.687875,125.32475,,
1605715200,,,,124.4570976,125.1730803
1605718800,,,,124.426,125.156
1605718800,,124.688,125.325,,
1605722400,,124.6465,125.2815,,
1605744000,,,,124.426,125.156
1605769200,,,,124.5855098,125.1773496
1605769200,,124.6859714,125.3204571,,
1605772800,,124.7223,125.3580333,,
1605772800,,,,124.5832928,125.2668108
1605776400,,124.7622286,125.3984286,,
1605776400,,,,124.648452,125.3468929
1605780000,,,,124.6151471,125.3153007
1605780000,,124.6617273,125.2970455,,
1605783600,,124.6867576,125.3222727,,
1605783600,,,,124.640253,125.3391171
1605787200,,,,124.6205383,125.3196424
1605787200,,124.6696957,125.3051739,,
1605790800,,,,124.6074312,125.3056393
1605790800,,124.6558235,125.2910882,,
1605794400,,124.6927692,125.3284359,,
1605794400,,,,124.6523232,125.3495892
1605798000,,,,124.6535914,125.347
1605798000,,124.6862105,125.3217368,,
1605798000,125.003,,,,
1605801600,,124.7351304,125.370913,,
1605801600,,,,124.6321547,125.3222
1605805200,,124.716,125.352,,
1605830400,,,,124.626,125.335
1605855600,,124.7932857,125.4252381,,
1605855600,,,,124.7606689,125.3799067
1605859200,,124.7581552,125.3899138,,
1605859200,,,,124.6724006,125.3689014
1605862800,,124.7092281,125.340614,,
1605862800,,,,124.6390888,125.3353618
1605866400,,124.7348814,125.3664237,,
1605866400,,,,124.6705222,125.3657133
1605870000,,124.7737759,125.4055172,,
1605870000,,,,124.7258096,125.4155623
1605873600,,,,124.7476935,125.4527849
